"TOA5","Station","CR1000","12345","CR1000.Std.25","CPU:Gibberish.CR1","54321","Daily"
"TIMESTAMP","RECORD","Batt_Min","Rain_Tot","AirT_Max","AirT_TMx","AirT_Min","AirT_TMn","RH_Max","RH_TMx","RH_Min","RH_TMn","BaromPres_Max","BaromPres_TMx","BaromPres_Min","BaromPres_TMn","SlrkW_Max","SlrkW_TMx","SlrMJ_Max","SlrMJ_TMx","WaterT_Max","WaterT_TMx","WaterLvl_Min","WaterLvl_TMn"
"TS","RN","Volts","mm","Deg C","Deg C","Deg C","Deg C","%","%","%","%","mmHg","mmHg","mmHg","mmHg","kW/m^2","kW/m^2","MJ/m^2","MJ/m^2","Deg C","Deg C","Ft","Ft"
"","","Min","Tot","Max","TMx","Min","TMn","Max","TMx","Min","TMn","Max","TMx","Min","TMn","Max","TMx","Max","TMx","Max","TMx","Min","TMn"
"2014-05-04 00:00:00",23,12.9,0,16.86,"2014-05-03 15:45:00",3.678,"2014-05-03 05:15:00",82.7,"2014-05-03 06:15:00",31.13,"2014-05-03 15:00:00",731.6,"2014-05-04 00:00:00",726,"2014-05-03 00:15:00",1.082,"2014-05-03 13:30:00",0.032,"2014-05-03 13:30:00",19.7,"2014-05-03 15:45:00",0.54,"2014-05-03 23:00:00"
"2014-05-05 00:00:00",24,12.85,0,12.43,"2014-05-04 18:00:00",2.331,"2014-05-04 04:45:00",83.1,"2014-05-04 08:00:00",33.94,"2014-05-04 15:45:00",735,"2014-05-04 08:00:00",729.9,"2014-05-04 20:30:00",1.051,"2014-05-04 14:45:00",0.032,"2014-05-04 14:45:00",15.78,"2014-05-04 16:45:00",0.528,"2014-05-04 22:15:00"
"2014-05-06 00:00:00",25,12.8,0,19.8,"2014-05-05 17:15:00",1.027,"2014-05-05 05:45:00",89.7,"2014-05-05 06:15:00",32.53,"2014-05-05 16:45:00",730.9,"2014-05-05 08:30:00",728.1,"2014-05-05 17:30:00",0.916,"2014-05-05 13:15:00",0.027,"2014-05-05 13:15:00",24.42,"2014-05-05 15:45:00",0.512,"2014-05-05 23:45:00"
"2014-05-07 00:00:00",26,12.9,0,20.68,"2014-05-06 17:00:00",5.998,"2014-05-06 06:15:00",80,"2014-05-06 06:15:00",32.83,"2014-05-06 17:30:00",729.2,"2014-05-06 08:45:00",723.1,"2014-05-06 17:15:00",0.87,"2014-05-06 11:45:00",0.026,"2014-05-06 11:45:00",17.35,"2014-05-06 14:45:00",0.487,"2014-05-06 22:15:00"
"2014-05-08 00:00:00",27,12.91,0,22.16,"2014-05-07 17:15:00",10.35,"2014-05-07 06:15:00",71.58,"2014-05-07 04:30:00",48.14,"2014-05-07 17:15:00",724.2,"2014-05-07 01:45:00",721.4,"2014-05-07 18:45:00",0.867,"2014-05-07 10:45:00",0.026,"2014-05-07 10:45:00",20.66,"2014-05-07 17:45:00",0.468,"2014-05-07 22:30:00"
"2014-05-09 00:00:00",28,12.9,13.72,17.61,"2014-05-08 14:45:00",8.87,"2014-05-09 00:00:00",100,"2014-05-08 22:00:00",71.07,"2014-05-08 00:30:00",726.7,"2014-05-08 05:30:00",719.2,"2014-05-08 19:30:00",1.007,"2014-05-08 14:30:00",0.03,"2014-05-08 14:30:00",18.43,"2014-05-08 16:45:00",0.465,"2014-05-08 04:45:00"
"2014-05-10 00:00:00",29,12.85,0,16.66,"2014-05-09 16:30:00",-39.93,"2014-05-09 12:45:00",98.2,"2014-05-09 00:15:00",0.135,"2014-05-09 12:45:00",727.1,"2014-05-09 23:45:00",450,"2014-05-09 12:45:00",1.013,"2014-05-09 14:30:00",0.03,"2014-05-09 14:30:00",19.48,"2014-05-09 16:30:00","NAN","2014-05-09 12:45:00"
"2014-05-11 00:00:00",30,12.81,3.81,22.96,"2014-05-10 16:15:00",2.771,"2014-05-10 03:00:00",97.5,"2014-05-10 03:15:00",42.31,"2014-05-10 13:15:00",727.5,"2014-05-10 03:45:00",722.7,"2014-05-10 17:00:00",0.929,"2014-05-10 16:00:00",0.028,"2014-05-10 16:00:00",21.1,"2014-05-10 16:30:00",0.478,"2014-05-10 14:45:00"
"2014-05-12 00:00:00",31,12.84,14.22,17.64,"2014-05-11 16:15:00",7.265,"2014-05-11 03:45:00",99.6,"2014-05-11 22:45:00",68.96,"2014-05-11 17:45:00",729.3,"2014-05-11 09:45:00",724.3,"2014-05-11 23:15:00",0.561,"2014-05-11 13:00:00",0.017,"2014-05-11 13:00:00",18.67,"2014-05-11 16:30:00",0.483,"2014-05-11 19:00:00"
"2014-05-13 00:00:00",32,12.84,8.13,13,"2014-05-12 00:15:00",6.93,"2014-05-12 23:45:00",100,"2014-05-12 01:00:00",90.5,"2014-05-12 23:15:00",727.9,"2014-05-13 00:00:00",723.6,"2014-05-12 05:15:00",0.265,"2014-05-12 11:30:00",0.008,"2014-05-12 11:30:00",13.05,"2014-05-12 00:15:00",0.524,"2014-05-12 00:15:00"
